CMDLINE /data/pgnanoraw/pod5_fork/pod5/python/pod5/venv/bin/python index_bam.py
MEM 91.730469 1691950660.6458
MEM 91.730469 1691950660.7460
MEM 91.730469 1691950660.8463
MEM 91.730469 1691950660.9465
MEM 91.730469 1691950661.0467
MEM 91.730469 1691950661.1468
MEM 91.988281 1691950661.2470
MEM 91.988281 1691950661.3472
MEM 91.988281 1691950661.4474
MEM 91.988281 1691950661.5475
MEM 91.988281 1691950661.6477
MEM 92.246094 1691950661.7479
MEM 92.246094 1691950661.8481
MEM 92.246094 1691950661.9483
MEM 92.246094 1691950662.0485
MEM 92.246094 1691950662.1487
MEM 92.246094 1691950662.2488
MEM 92.503906 1691950662.3490
MEM 92.503906 1691950662.4492
MEM 62.007812 1691950662.5495
